	Year	Series	Value
Bahamas	2012	"Percentage of male and female intentional homicide victims, Male"	57.3037
Bahamas	2012	"Percentage of male and female intentional homicide victims, Female"	5.3383
Bahamas	2012	"Assault rate per 100,000 population"	860.44
Bahamas	2012	"Kidnapping at the national level, rate per 100,000"	7.701
Bahamas	2012	"Theft at the national level, rate per 100,000 population"	545.33
Bahamas	2012	"Robbery at the national level, rate per 100,000 population"	100.824
Bahamas	2012	"Total Sexual Violence at the national level, rate per 100,000"	82.143
Bahamas	2017	"Intentional homicide rates per 100,000"	31.9582
Bahamas	2017	"Percentage of male and female intentional homicide victims, Male"	62.5728
Bahamas	2017	"Percentage of male and female intentional homicide victims, Female"	3.0555
Bahamas	2017	"Assault rate per 100,000 population"	1008.9
Bahamas	2017	"Kidnapping at the national level, rate per 100,000"	2.881
Bahamas	2017	"Robbery at the national level, rate per 100,000 population"	164.921
Bahamas	2017	"Total Sexual Violence at the national level, rate per 100,000"	84.031
Bahrain	2005	"Intentional homicide rates per 100,000"	0.4499
Bahrain	2005	"Assault rate per 100,000 population"	396.85
Bahrain	2005	"Kidnapping at the national level, rate per 100,000"	1.35
Bahrain	2005	"Theft at the national level, rate per 100,000 population"	1086.5
Bahrain	2007	"Intentional homicide rates per 100,000"	0.3861
Bahrain	2007	"Assault rate per 100,000 population"	254.25
Bahrain	2007	"Kidnapping at the national level, rate per 100,000"	0
Bahrain	2007	"Theft at the national level, rate per 100,000 population"	700.39
Bahrain	2007	"Total Sexual Violence at the national level, rate per 100,000"	13.996
Bahrain	2008	"Intentional homicide rates per 100,000"	0.5383
Bahrain	2008	"Assault rate per 100,000 population"	327.71
Bahrain	2008	"Theft at the national level, rate per 100,000 population"	681.43
Bahrain	2008	"Total Sexual Violence at the national level, rate per 100,000"	15.695
Bahrain	2010	"Intentional homicide rates per 100,000"	0.8865
Bahrain	2014	"Intentional homicide rates per 100,000"	0.5239
Bangladesh	2005	"Intentional homicide rates per 100,000"	2.5835
Bangladesh	2005	"Assault rate per 100,000 population"	0.41
Bangladesh	2005	"Kidnapping at the national level, rate per 100,000"	0.937
Bangladesh	2005	"Theft at the national level, rate per 100,000 population"	9.02
Bangladesh	2006	"Intentional homicide rates per 100,000"	2.9563
Bangladesh	2006	"Assault rate per 100,000 population"	0.4
Bangladesh	2006	"Kidnapping at the national level, rate per 100,000"	0.794
Bangladesh	2006	"Theft at the national level, rate per 100,000 population"	9.22
Bangladesh	2010	"Intentional homicide rates per 100,000"	2.7023
Bangladesh	2017	"Intentional homicide rates per 100,000"	2.2225
Barbados	2005	"Intentional homicide rates per 100,000"	10.4951
Barbados	2005	"Percentage of male and female intentional homicide victims, Male"	14.9587
Barbados	2005	"Percentage of male and female intentional homicide victims, Female"	6.3741
Barbados	2005	"Assault rate per 100,000 population"	627.17
Barbados	2005	"Kidnapping at the national level, rate per 100,000"	8.324
Barbados	2005	"Theft at the national level, rate per 100,000 population"	409.42
Barbados	2005	"Total Sexual Violence at the national level, rate per 100,000"	69.565
Barbados	2010	"Intentional homicide rates per 100,000"	10.9878
Barbados	2010	"Percentage of male and female intentional homicide victims, Male"	16.9885
Barbados	2010	"Percentage of male and female intentional homicide victims, Female"	5.4516
Barbados	2010	"Assault rate per 100,000 population"	535.82
Barbados	2010	"Kidnapping at the national level, rate per 100,000"	4.253
Barbados	2010	"Theft at the national level, rate per 100,000 population"	732.98
Barbados	2010	"Robbery at the national level, rate per 100,000 population"	172.695
Barbados	2010	"Total Sexual Violence at the national level, rate per 100,000"	59.929
Barbados	2016	"Intentional homicide rates per 100,000"	7.6977
Barbados	2016	"Percentage of male and female intentional homicide victims, Male"	14.5031
Barbados	2016	"Percentage of male and female intentional homicide victims, Female"	1.3523
Barbados	2016	"Assault rate per 100,000 population"	545.1
Barbados	2016	"Kidnapping at the national level, rate per 100,000"	3.849
Barbados	2016	"Theft at the national level, rate per 100,000 population"	594.76
Barbados	2016	"Robbery at the national level, rate per 100,000 population"	65.035
Barbados	2016	"Total Sexual Violence at the national level, rate per 100,000"	63.636
Barbados	2017	"Intentional homicide rates per 100,000"	10.4811
Barbados	2017	"Percentage of male and female intentional homicide victims, Male"	20.2571
Barbados	2017	"Percentage of male and female intentional homicide victims, Female"	1.3513
Barbados	2017	"Assault rate per 100,000 population"	502.45
Barbados	2017	"Kidnapping at the national level, rate per 100,000"	3.494
Barbados	2017	"Robbery at the national level, rate per 100,000 population"	83.566
Barbados	2017	"Total Sexual Violence at the national level, rate per 100,000"	60.14
Belarus	2005	"Intentional homicide rates per 100,000"	8.6278
Belarus	2005	"Assault rate per 100,000 population"	20.03
Belarus	2005	"Kidnapping at the national level, rate per 100,000"	0.376
Belarus	2005	"Theft at the national level, rate per 100,000 population"	1079.23
Belarus	2005	"Total Sexual Violence at the national level, rate per 100,000"	8.565
Belarus	2010	"Intentional homicide rates per 100,000"	4.2566
Belarus	2010	"Percentage of male and female intentional homicide victims, Male"	6.0506
Belarus	2010	"Percentage of male and female intentional homicide victims, Female"	2.698
Belarus	2010	"Assault rate per 100,000 population"	12.29
Belarus	2010	"Kidnapping at the national level, rate per 100,000"	0.202
Belarus	2010	"Theft at the national level, rate per 100,000 population"	781.13
Belarus	2010	"Robbery at the national level, rate per 100,000 population"	50.26
Belarus	2010	"Total Sexual Violence at the national level, rate per 100,000"	3.885
Belarus	2014	"Intentional homicide rates per 100,000"	3.6048
Belarus	2014	"Percentage of male and female intentional homicide victims, Male"	5.1052
Belarus	2014	"Percentage of male and female intentional homicide victims, Female"	2.2997
Belarus	2014	"Assault rate per 100,000 population"	8.8
Belarus	2014	"Kidnapping at the national level, rate per 100,000"	0.329
Belarus	2014	"Theft at the national level, rate per 100,000 population"	429.69
Belarus	2014	"Robbery at the national level, rate per 100,000 population"	26.081
Belarus	2014	"Total Sexual Violence at the national level, rate per 100,000"	4.782
Belarus	2017	"Intentional homicide rates per 100,000"	2.5396
Belarus	2017	"Percentage of male and female intentional homicide victims, Male"	3.3194
Belarus	2017	"Percentage of male and female intentional homicide victims, Female"	1.8607
Belarus	2017	"Kidnapping at the national level, rate per 100,000"	0.159
Belgium	2005	"Intentional homicide rates per 100,000"	2.0954
Belgium	2005	"Percentage of male and female intentional homicide victims, Male"	2.4893
Belgium	2005	"Percentage of male and female intentional homicide victims, Female"	1.716
Belgium	2005	"Assault rate per 100,000 population"	639.21
Belgium	2005	"Kidnapping at the national level, rate per 100,000"	8.713
Belgium	2005	"Theft at the national level, rate per 100,000 population"	2060.99
Belgium	2005	"Total Sexual Violence at the national level, rate per 100,000"	57.334
Belgium	2010	"Intentional homicide rates per 100,000"	1.7278
Belgium	2010	"Percentage of male and female intentional homicide victims, Male"	2.2252
Belgium	2010	"Percentage of male and female intentional homicide victims, Female"	1.2478
Belgium	2010	"Assault rate per 100,000 population"	710.83
Belgium	2010	"Kidnapping at the national level, rate per 100,000"	10.257
Belgium	2010	"Theft at the national level, rate per 100,000 population"	2087.53
Belgium	2010	"Robbery at the national level, rate per 100,000 population"	218.082
Belgium	2010	"Total Sexual Violence at the national level, rate per 100,000"	64.841
Belgium	2014	"Intentional homicide rates per 100,000"	1.8715
Belgium	2014	"Percentage of male and female intentional homicide victims, Male"	2.3396
Belgium	2014	"Percentage of male and female intentional homicide victims, Female"	1.4196
Belgium	2014	"Assault rate per 100,000 population"	627.49
Belgium	2014	"Kidnapping at the national level, rate per 100,000"	10.257
Belgium	2014	"Theft at the national level, rate per 100,000 population"	1857.62
Belgium	2014	"Robbery at the national level, rate per 100,000 population"	195.419
Belgium	2014	"Total Sexual Violence at the national level, rate per 100,000"	61.465
Belgium	2015	"Intentional homicide rates per 100,000"	2.0376
Belgium	2015	"Assault rate per 100,000 population"	611.56
Belgium	2015	"Kidnapping at the national level, rate per 100,000"	10.374
Belgium	2015	"Theft at the national level, rate per 100,000 population"	1652.96
Belgium	2015	"Robbery at the national level, rate per 100,000 population"	198.432
Belgium	2015	"Total Sexual Violence at the national level, rate per 100,000"	59.727
Belgium	2017	"Intentional homicide rates per 100,000"	1.6901
Belgium	2017	"Assault rate per 100,000 population"	607.38
Belgium	2017	"Kidnapping at the national level, rate per 100,000"	10.245
Belgium	2017	"Robbery at the national level, rate per 100,000 population"	165.972
Belgium	2017	"Total Sexual Violence at the national level, rate per 100,000"	62.846
Belize	2004	"Intentional homicide rates per 100,000"	28.5698
Belize	2004	"Percentage of male and female intentional homicide victims, Male"	46.7337
Belize	2004	"Percentage of male and female intentional homicide victims, Female"	10.187
Belize	2005	"Intentional homicide rates per 100,000"	28.5414
Belize	2005	"Kidnapping at the national level, rate per 100,000"	3.171
Belize	2005	"Theft at the national level, rate per 100,000 population"	590.85
Belize	2009	"Intentional homicide rates per 100,000"	30.8274
Belize	2009	"Percentage of male and female intentional homicide victims, Male"	55.856
Belize	2009	"Percentage of male and female intentional homicide victims, Female"	5.7286
Belize	2009	"Assault rate per 100,000 population"	164.76
Belize	2009	"Kidnapping at the national level, rate per 100,000"	0.636
Belize	2009	"Theft at the national level, rate per 100,000 population"	374.29
Belize	2009	"Total Sexual Violence at the national level, rate per 100,000"	64.127
Belize	2010	"Intentional homicide rates per 100,000"	40.0043
Belize	2010	"Percentage of male and female intentional homicide victims, Male"	69.9662
Belize	2010	"Percentage of male and female intentional homicide victims, Female"	10.007
Belize	2010	"Theft at the national level, rate per 100,000 population"	259.63
Belize	2010	"Robbery at the national level, rate per 100,000 population"	148.137
Belize	2010	"Total Sexual Violence at the national level, rate per 100,000"	40.373
Belize	2014	"Intentional homicide rates per 100,000"	34.8081
Belize	2014	"Percentage of male and female intentional homicide victims, Male"	62.9084
